,RegionName,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,# of Bedrooms
0,10025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.601226993865031,5.13351134846462,5.0,5.0,5.01658374792703,5.18479880774963,4.99258160237389,4.98466257668712,4.98466257668712,5.0,5.22105639059965,5.1011869436201795,5.207190900098911,5.17626430417128,5.08333333333333,5.05836371516712,5.0,5.0,4.99662162162162,5.008291873963519,5.1011869436201795,5.10327027695351,5.1,5.0,5.062295081967211,4.91758535582065,4.99324324324324,5.05836371516712,4.99662162162162,4.97817504418971,4.91758535582065,4.91978609625668,5.05836371516712,5.08919331284466,4.996875,5.0,5.04659601914476,5.062295081967211,5.106742499175731,5.0,5.0,4.96889031640633,4.95607242339833,4.94086811245454,4.977995110024451,4.98307692307692,5.0,5.0397161741835195,5.0,4.98307692307692,5.069609079445151,4.977995110024451,4.99291242280857,5.0,4.99324324324324,5.0,5.0,5.11363636363636,5.1,5.0,5.10869565217391,5.200450992563691,5.16129032258065,1
2,10023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.94836274527404,5.0,4.93850325743838,4.9476688867745,4.87587334958451,4.828869047619049,4.88309475119291,4.90421455938697,5.02225519287834,4.95770541112919,4.93740096466942,4.857444561774019,5.00428082191781,5.096011816839,5.07317755871973,4.92307692307692,4.94791666666667,4.97222222222222,4.85714285714286,4.91405242801891,4.953519256308099,4.97648544336971,4.861224857999849,4.78571428571429,4.538455089820361,4.8933588761175,4.77207977207977,4.73889709502708,4.77524366391918,4.75,4.75896168108776,4.825,4.78571428571429,4.850976361767731,4.87631921335707,4.94050111005392,4.78571428571429,4.762709978537321,4.85048818088386,4.816135620915031,4.80204342273308,4.77272727272727,4.82122905027933,4.85594715167663,4.817289220917821,4.92121212121212,5.12261146496815,5.02225519287834,4.91489426743804,5.0,4.9726500638569595,4.91549802115015,4.77556440903054,4.801541689472719,4.93150684931507,4.81818181818182,4.8031906614786,4.857306362702049,5.0069609297725,5.156402737047901,5.04055619930475,5.079621125143509,1
9,10016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.301767676767679,5.27483824810253,5.236065573770491,5.27483824810253,5.26074074074074,5.29925925925926,5.26335605580216,5.33284529038555,5.337963361061781,5.367999999999999,5.32534085566526,5.33516483516483,5.288753799392099,5.3351282051282105,5.33692307692308,5.3125,5.2952607380798895,5.27485380116959,5.26315789473684,5.26699320137982,5.26756756756757,5.180817610062889,5.33333333333333,5.30409356725146,5.22783251231527,5.33333333333333,5.2399539691512595,5.16860338578877,5.2025236593059905,5.11287477954145,5.266418835192071,5.32809773123909,5.37212449255751,5.3341148886283705,5.401055099648299,5.382644441941661,5.392857142857139,5.302930622009571,5.266418835192071,5.247377622377621,5.2202702702702695,5.23071751594929,5.26699320137982,5.33333333333333,5.35851851851852,5.33900364520049,5.36533754685999,5.43,5.38933495539335,5.424769703172981,5.371534591194969,5.434548640280339,5.44268077601411,5.4327868852459,5.42841463414634,5.44444444444444,5.5,5.5067751355861505,5.57319223985891,5.64262420551729,5.64257655924323,5.53846153846154,1
12,11235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2333333333333303,2.39285714285714,2.35642857142857,2.54390150792136,2.6646942800789,2.77777777777778,2.6960784313725497,2.46875,2.4604773175542403,2.4166666666666696,2.40875912408759,2.35714285714286,2.32167832167832,2.36005291005291,2.42857142857143,2.36296296296296,2.3758865248227004,2.42857142857143,2.4275362318840603,2.35714285714286,2.34507042253521,2.40697783928981,2.42290748898678,2.48616071428571,2.42573945877911,2.35714285714286,2.3846153846153797,2.36296296296296,2.3892390289449104,2.50369127516779,2.51332398316971,1
13,11375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26794871794872,2.25118483412322,2.25163495838288,2.2962962962963,2.2962962962963,2.3019943019943,2.2667768429487203,2.19090909090909,2.25326991676575,2.3125,2.32795698924731,2.30384615384615,2.3333333333333304,2.3333333333333304,2.33036959553696,2.3125,2.36931818181818,2.3717105263157903,2.4004795128839103,2.3997405966277596,2.38888888888889,2.35625,2.36111111111111,2.4,2.35294117647059,2.39285714285714,2.38888888888889,2.41176470588235,2.3541666666666696,2.38925,2.42857142857143,2.35063046771908,2.41379310344828,2.42155525238745,2.40625,2.37883333333333,2.4538398692810497,2.44097222222222,2.3468297920434,2.4088541666666696,2.38709677419355,2.40625,2.375,2.43541666666667,2.4375,2.42857142857143,2.46875,2.3858064516129,2.41739745403112,2.35714285714286,2.36328125,2.3468297920434,2.40625,2.41785714285714,2.48446788111218,2.42142857142857,2.42142857142857,2.43015873015873,2.36515151515152,2.3592375366568903,2.40821428571429,2.34162145871007,2.36842105263158,2.42142857142857,2.4375,2.39393939393939,2.42514534883721,2.5,2.51470588235294,2.6015037593985,1
17,10029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.96069895398754,5.214674861375,5.1698670605613,5.1698670605613,5.24642289348172,5.52558782849239,5.52558782849239,5.351906158357769,5.38856304985337,4.79807692307692,5.40704015981945,5.39143279172821,5.52558782849239,5.490746081660251,5.32846715328467,5.24642289348172,5.24642289348172,5.38674033149171,5.39143279172821,5.32846715328467,5.380007386166151,5.52558782849239,5.52558782849239,5.52558782849239,5.52558782849239,5.52558782849239,5.52558782849239,5.52558782849239,5.52558782849239,5.52558782849239,5.52558782849239,5.52558782849239,5.52558782849239,5.4559043348281,5.52558782849239,5.18292682926829,5.32846715328467,5.2874450233831904,5.24642289348172,5.214674861375,5.24642289348172,5.43154761904762,5.44372597693786,5.1763969449148,5.24642289348172,5.1698670605613,5.1698670605613,5.28846153846154,5.24642289348172,5.19741538804553,5.1698670605613,5.20814497702151,5.2067946824224505,5.24642289348172,5.380007386166151,5.52558782849239,5.52558782849239,5.52558782849239,5.380007386166151,5.24642289348172,5.4559043348281,5.4559043348281,5.48076923076923,1
18,11201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5708320782176,4.53714497668504,4.67981557377049,4.70899470899471,4.711418747737969,4.6921921921921905,4.6038961038960995,4.646515117277531,4.625,4.58930881712017,4.67391304347826,4.62287104622871,4.65056360708535,4.60118168389956,4.64022394487511,4.69151670951157,4.7471910112359605,4.82325581395349,4.854993160054719,4.83666666666667,5.02225519287834,4.878048780487799,4.80535966149506,4.805231608676441,4.85239852398524,4.836007130124781,4.94359383928108,5.029440129710419,4.94032455492953,5.02225519287834,5.0851063829787195,5.21126003030261,5.23738872403561,1
23,10011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.607375,5.659375,5.46322463768116,5.61875,5.5548631934033,5.72222222222222,5.75833333333333,5.79166666666667,5.52380952380952,5.5534722222222195,5.53539630836048,5.6,5.83974358974359,5.98888888888889,5.82575757575758,5.94,5.98685919343814,6.55197368421053,6.309051724137929,5.94554945054945,5.869485294117651,6.284375,6.33511904761905,6.05113636363636,6.43939393939394,6.341071428571429,6.341071428571429,6.36882129277567,6.24375,6.19,6.11940298507463,6.44287445928602,6.12557427258806,5.99,1
37,10019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28110933758978,5.213315217391299,5.194986072423401,5.16666666666667,5.194986072423401,5.194986072423401,5.18897637795276,5.283430141287281,5.23860182370821,5.240145223651821,5.20870870870871,5.199449793672629,5.19796536604452,5.19259959259959,5.256771595900441,5.23100303951368,5.15832898172324,5.16618497109827,5.13256113256113,5.13663663663664,5.15558567686227,5.153031708178769,5.13256113256113,5.15441176470588,5.07114735658043,5.146022781659809,5.15558567686227,5.13256113256113,5.0740151213688796,5.07934815481985,5.07114735658043,5.07979407979408,5.07934815481985,5.09419152276295,5.18490249431107,5.19512195121951,5.26406467595471,5.1939965327151905,5.16,5.15640705980132,5.08301158301158,5.05807807150021,5.05807807150021,5.06300692383778,5.0740151213688796,5.0876438052010595,5.181685079196059,5.15615615615616,5.156657963446481,5.19259959259959,5.15080527086384,5.15615615615616,5.13256113256113,5.12121212121212,5.10237388724036,5.15615615615616,5.17086834733894,5.271260997067451,5.26458616010855,5.2882352941176505,5.2926699109091695,5.323214285714291,1
39,10463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18766675560299,2.36294072065091,2.32352941176471,2.29032258064516,2.3333333333333304,2.3373904695837404,2.3333333333333304,2.3306878306878303,2.35751295336788,2.44444444444444,2.25245098039216,2.2684752104770802,2.32804232804233,2.29411764705882,2.40945674044266,2.4210526315789505,2.39647959183673,2.39333333333333,2.3941666666666697,2.37062611170402,2.4210526315789505,2.42773600668338,2.42872807017544,2.4310312024353102,2.39210526315789,2.36842105263158,2.3798076923076903,2.4535603715170295,2.42872807017544,2.4310312024353102,2.43055555555556,2.4310312024353102,2.45714285714286,2.46140350877193,2.45614035087719,2.46336429308566,2.46817082997583,2.63333333333333,2.46153846153846,2.43150684931507,2.48529411764706,2.5,2.5,2.46268556005398,2.45614035087719,2.6380952380952403,2.84,2.84,2.8575,2.8920308483290498,2.5625,2.625,2.77777777777778,2.63333333333333,2.63333333333333,2.61243386243386,2.5625,2.63333333333333,2.77777777777778,2.72496546961326,2.7506666666666697,2.81173594132029,2.7695043342965096,2.7047058823529397,1
